Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
csikasz_nagy_2006_budding_yeast_from_code,models_cellml/cell_cycle/csikasz_nagy_2006_budding_yeast_from_code.cellml,cell_cycle,44,14,30,14,0,0,0,371,138
csikasz_nagy_2006_budding_yeast_from_paper,models_cellml/cell_cycle/csikasz_nagy_2006_budding_yeast_from_paper.cellml,cell_cycle,53,14,39,14,0,0,0,316,141
csikasz_nagy_2006_mammalian_from_code,models_cellml/cell_cycle/csikasz_nagy_2006_mammalian_from_code.cellml,cell_cycle,44,14,30,14,0,0,0,371,138
gardner_dolnik_collins_1998,models_cellml/cell_cycle/gardner_dolnik_collins_1998.cellml,cell_cycle,12,5,7,5,0,0,0,71,32
halloy_bernard_loussouarn_goldbeter_2002,models_cellml/cell_cycle/halloy_bernard_loussouarn_goldbeter_2002.cellml,cell_cycle,7,4,3,4,0,0,0,32,12
hatzimanikatis_lee_bailey_1999,models_cellml/cell_cycle/hatzimanikatis_lee_bailey_1999.cellml,cell_cycle,15,3,12,3,0,0,0,65,35
novak_csikasznagy_gyorffy_chen_tyson_1998,models_cellml/cell_cycle/novak_csikasznagy_gyorffy_chen_tyson_1998.cellml,cell_cycle,22,11,11,11,0,0,0,129,67
novak_pataki_ciliberto_tyson_2001,models_cellml/cell_cycle/novak_pataki_ciliberto_tyson_2001.cellml,cell_cycle,15,9,6,9,0,0,0,104,63
novak_tyson_1993_a,models_cellml/cell_cycle/novak_tyson_1993_a.cellml,cell_cycle,14,9,5,9,0,0,0,130,46
novak_tyson_1993_b,models_cellml/cell_cycle/novak_tyson_1993_b.cellml,cell_cycle,14,9,5,9,0,0,0,130,46
novak_tyson_1997,models_cellml/cell_cycle/novak_tyson_1997.cellml,cell_cycle,22,13,9,13,0,0,0,190,66
novak_tyson_2004,models_cellml/cell_cycle/novak_tyson_2004.cellml,cell_cycle,30,18,12,18,0,0,0,310,107
