,0,1,2
36,viswanathan_shaw_rudy_1999_c,https://models.physiomeproject.org/exposure/4c26896c035fd04e70658d792affad9d/viswanathan_shaw_rudy_1999_c.cellml,calcium_dynamics
37,viswanathan_shaw_rudy_1999_a,https://models.physiomeproject.org/exposure/4c26896c035fd04e70658d792affad9d/viswanathan_shaw_rudy_1999_a.cellml,calcium_dynamics
38,fall_keizer_2001,https://models.physiomeproject.org/exposure/61bed9f6deb2ce4c57a53aeb1003f41a/fall_keizer_2001.cellml,calcium_dynamics
39,fink_slepchenko_loew_1999,https://models.physiomeproject.org/exposure/166ffbd9c23f0e34fbcda6cb31a57a6c/fink_slepchenko_loew_1999.cellml,calcium_dynamics
40,fridlyand_tamarina_philipson_2003,https://models.physiomeproject.org/exposure/afd5db90de862fb366422bbd5e3f6744/fridlyand_tamarina_philipson_2003.cellml,calcium_dynamics
41,gall_susa_1999_a,https://models.physiomeproject.org/exposure/bc0d80f7e1ccb2c288119f6e8fdfbc20/gall_susa_1999_a.cellml,calcium_dynamics
42,gall_susa_1999_b,https://models.physiomeproject.org/exposure/bc0d80f7e1ccb2c288119f6e8fdfbc20/gall_susa_1999_b.cellml,calcium_dynamics
43,gall_susa_1999_c,https://models.physiomeproject.org/exposure/bc0d80f7e1ccb2c288119f6e8fdfbc20/gall_susa_1999_c.cellml,calcium_dynamics
44,goforth_bertram_khan_zhang_sherman_satin_2002,https://models.physiomeproject.org/exposure/453f7438e967537919f6defea7e9bacb/goforth_bertram_khan_zhang_sherman_satin_2002.cellml,calcium_dynamics
45,hilgemann_noble_1987,https://models.physiomeproject.org/exposure/49f298f54f3e916fca650c8e76d82e46/hilgemann_noble_1987.cellml,calcium_dynamics
46,hinch_greenstein_tanskanen_xu_winslow_2004,https://models.physiomeproject.org/exposure/8e1a590fb82a2cab5284502b430c4a4f/hinch_greenstein_tanskanen_xu_winslow_2004.cellml,calcium_dynamics
47,houart_1999,https://models.physiomeproject.org/exposure/f8fc3c5779e3dff38536c66e1f7562f7/houart_1999.cellml,calcium_dynamics
48,iribe_kohl_noble_2006,https://models.physiomeproject.org/exposure/7af88a567b3fdbb5209ddd2eee44075c/iribe_kohl_noble_2006.cellml,calcium_dynamics
49,izakov_katsnelson_blyakhman_markhasin_shkylar_1991,https://models.physiomeproject.org/exposure/94a5dddfa94d46f1d842e4e87a94646f/izakov_katsnelson_blyakhman_markhasin_shkylar_1991.cellml,calcium_dynamics
50,jafri_rice_winslow_1998_a,https://models.physiomeproject.org/exposure/5230da0476e9764a7d513a5d18af2a58/jafri_rice_winslow_1998_a.cellml,calcium_dynamics
51,jafri_rice_winslow_1998_b,https://models.physiomeproject.org/exposure/5230da0476e9764a7d513a5d18af2a58/jafri_rice_winslow_1998_b.cellml,calcium_dynamics
52,katsnelson_2004a,https://models.physiomeproject.org/exposure/2a3e1e865606c4da94c251017038f820/katsnelson_2004a.cellml,calcium_dynamics
53,katsnelson_2004b,https://models.physiomeproject.org/exposure/2a3e1e865606c4da94c251017038f820/katsnelson_2004b.cellml,calcium_dynamics
54,katsnelson_2004c,https://models.physiomeproject.org/exposure/2a3e1e865606c4da94c251017038f820/katsnelson_2004c.cellml,calcium_dynamics
55,keener_2001,https://models.physiomeproject.org/exposure/7f1817ef2f2d9365518e25f112a89ed7/keener_2001.cellml,calcium_dynamics
56,keizer_levine_1996,https://models.physiomeproject.org/exposure/16afc3ec28ce71ddd761baab2ae7e8bd/keizer_levine_1996.cellml,calcium_dynamics
57,landesberg_sideman_1994,https://models.physiomeproject.org/exposure/3c1177a5ea3da98a6974aab65d9f9192/landesberg_sideman_1994.cellml,calcium_dynamics
