Model Name,File,Domain,All Domains,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
aguda_tang_1999,models_cellml2/cell_cycle/aguda_tang_1999.cellml,cell_cycle,cell cycle,33,11,22,11,0,0,0,171,66
dokos_celler_lovell_1996,models_cellml2/electrophysiology/dokos_celler_lovell_1996.cellml,electrophysiology,electrophysiology,70,18,52,18,0,0,0,232,114
sobie_dilly_dossantoscruz_lederer_jafri_2002,models_cellml2/calcium_dynamics/sobie_dilly_dossantoscruz_lederer_jafri_2002.cellml,calcium_dynamics,calcium dynamics,25,8,17,8,0,0,0,77,66
phillips_2007,models_cellml2/circadian_rhythms/phillips_2007.cellml,circadian_rhythms,circadian rhythms | neurobiology,10,3,7,3,0,0,0,45,25
hinch_greenstein_tanskanen_xu_winslow_2004,models_cellml2/calcium_dynamics/hinch_greenstein_tanskanen_xu_winslow_2004.cellml,calcium_dynamics,calcium dynamics | electrophysiology,65,6,59,6,0,0,0,208,109
tomida_hirose_takizawa_shibasaki_iino_2003,models_cellml2/calcium_dynamics/tomida_hirose_takizawa_shibasaki_iino_2003.cellml,calcium_dynamics,calcium dynamics,13,3,10,3,0,0,0,21,21
dupont_1992a,models_cellml2/calcium_dynamics/dupont_1992a.cellml,calcium_dynamics,calcium dynamics,6,3,3,3,0,0,0,42,26
gilbert_heiner_rosser_fulton_gu_trybilo_2007,models_cellml2/synthetic_biology/gilbert_heiner_rosser_fulton_gu_trybilo_2007.cellml,synthetic_biology,synthetic biology,13,4,9,4,0,0,0,41,28
perelson_1993b,models_cellml2/immunology/perelson_1993b.cellml,immunology,immunology,6,4,2,4,0,0,0,37,17
csikasz_nagy_2006_budding_yeast_from_code,models_cellml2/cell_cycle/csikasz_nagy_2006_budding_yeast_from_code.cellml,cell_cycle,cell cycle,44,14,30,14,0,0,0,371,138
gardner_dolnik_collins_1998,models_cellml2/cell_cycle/gardner_dolnik_collins_1998.cellml,cell_cycle,cell cycle,12,5,7,5,0,0,0,71,32
novak_tyson_1993_a,models_cellml2/cell_cycle/novak_tyson_1993_a.cellml,cell_cycle,cell cycle | metabolism,14,9,5,9,0,0,0,130,46
mahajan_shiferaw_sato_baher_olcese_xie_yang_chen_restrepo_karma_garfinkel_qu_weiss_2008,models_cellml2/electrophysiology/mahajan_shiferaw_sato_baher_olcese_xie_yang_chen_restrepo_karma_garfinkel_qu_weiss_2008.cellml,electrophysiology,electrophysiology,139,26,113,26,0,0,0,286,215
saucerman_mcculloch_2004,models_cellml2/metabolism/saucerman_mcculloch_2004.cellml,metabolism,metabolism | signal transduction,11,2,9,2,0,0,0,71,32
noble_noble_1984,models_cellml2/electrophysiology/noble_noble_1984.cellml,electrophysiology,electrophysiology,64,15,49,15,0,0,0,220,108
saftenku_williams_sitsapesan_2001_H1_model,models_cellml2/calcium_dynamics/saftenku_williams_sitsapesan_2001_H1_model.cellml,calcium_dynamics,calcium dynamics,6,6,0,6,0,0,0,59,18
katsnelson_2004b,models_cellml2/calcium_dynamics/katsnelson_2004b.cellml,calcium_dynamics,calcium dynamics | electrophysiology,59,9,50,9,0,0,0,190,98
Eskandari_et_al_2005,models_cellml2/ion_transport/Eskandari_et_al_2005.cellml,ion_transport,ion transport,58,7,51,7,0,0,0,200,91
dupont_1991b,models_cellml2/calcium_dynamics/dupont_1991b.cellml,calcium_dynamics,calcium dynamics,5,2,3,2,0,0,0,38,20
guyton_kidney_2008,models_cellml2/cardiovascular_circulation/guyton_kidney_2008.cellml,cardiovascular_circulation,cardiovascular circulation,70,4,66,4,0,0,0,266,133
iribe_kohl_noble_2006,models_cellml2/calcium_dynamics/iribe_kohl_noble_2006.cellml,calcium_dynamics,calcium dynamics | electrophysiology | excitation-contraction coupling,90,23,67,23,0,0,0,291,144
dijkstra_1992,models_cellml2/metabolism/dijkstra_1992.cellml,metabolism,metabolism,272,17,255,17,0,0,0,638,427
kneller_ramirez_chartier_courtemanche_nattel_2002,models_cellml2/electrophysiology/kneller_ramirez_chartier_courtemanche_nattel_2002.cellml,electrophysiology,electrophysiology,98,25,73,25,0,0,0,325,145
novak_tyson_2004,models_cellml2/cell_cycle/novak_tyson_2004.cellml,cell_cycle,cell cycle,30,18,12,18,0,0,0,310,107
chen_calzone_csikasznagy_cross_novak_tyson_2004,models_cellml2/cell_cycle/chen_calzone_csikasznagy_cross_novak_tyson_2004.cellml,cell_cycle,cell cycle,66,36,30,36,0,0,0,644,203
tyson_1991,models_cellml2/cell_cycle/tyson_1991.cellml,cell_cycle,cell cycle,15,6,9,6,0,0,0,68,24
bonhoeffer_rembiszewski_ortiz_nixon_2000_c,models_cellml2/immunology/bonhoeffer_rembiszewski_ortiz_nixon_2000_c.cellml,immunology,immunology,3,3,0,3,0,0,0,20,11
noble_noble_bett_earm_ho_so_1991,models_cellml2/electrophysiology/noble_noble_bett_earm_ho_so_1991.cellml,electrophysiology,electrophysiology,66,17,49,17,0,0,0,254,122
mitchell_schaeffer_2003,models_cellml2/electrophysiology/mitchell_schaeffer_2003.cellml,electrophysiology,electrophysiology,5,2,3,2,0,0,0,27,16
sneyd_1995,models_cellml2/calcium_dynamics/sneyd_1995.cellml,calcium_dynamics,calcium dynamics,7,3,4,3,0,0,0,32,20
corrias_buist_2008,models_cellml2/electrophysiology/corrias_buist_2008.cellml,electrophysiology,electrophysiology,106,22,84,22,0,0,0,349,211
dupont_1991a,models_cellml2/calcium_dynamics/dupont_1991a.cellml,calcium_dynamics,calcium dynamics,4,2,2,2,0,0,0,34,18
mackenzie_1996,models_cellml2/ion_transport/mackenzie_1996.cellml,ion_transport,ion transport,55,7,48,7,0,0,0,193,85
shannon_wang_puglisi_weber_bers_2004_b,models_cellml2/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_b.cellml,calcium_dynamics,calcium dynamics,200,45,155,45,0,0,0,581,351
nelson_murray_perelson_2000_general,models_cellml2/immunology/nelson_murray_perelson_2000_general.cellml,immunology,immunology,7,4,3,4,0,0,0,40,15
korzeniewski_zoladz_2001,models_cellml2/metabolism/korzeniewski_zoladz_2001.cellml,metabolism,metabolism,66,13,53,13,0,0,0,281,117
ciliberto_novak_tyson_2003,models_cellml2/cell_cycle/ciliberto_novak_tyson_2003.cellml,cell_cycle,cell cycle,28,19,9,19,0,0,0,292,98
kongas_vanbeek_2001,models_cellml2/metabolism/kongas_vanbeek_2001.cellml,metabolism,metabolism,25,10,15,10,0,0,0,117,53
hunter_mcculloch_terkeurs_1998,models_cellml2/electrophysiology/hunter_mcculloch_terkeurs_1998.cellml,electrophysiology,electrophysiology | mechanical constitutive laws | myofilament mechanics,9,3,6,3,0,0,0,43,33
rong_2009a,models_cellml2/immunology/rong_2009a.cellml,immunology,immunology,4,4,0,4,0,0,0,34,15
baylor_hollingworth_chandler_2002_a,models_cellml2/calcium_dynamics/baylor_hollingworth_chandler_2002_a.cellml,calcium_dynamics,calcium dynamics,3,3,0,3,0,0,0,21,6
vangoor_lebeau_krsmanovic_sherman_catt_stojilkovic_2000,models_cellml2/calcium_dynamics/vangoor_lebeau_krsmanovic_sherman_catt_stojilkovic_2000.cellml,calcium_dynamics,calcium dynamics,40,13,27,13,0,0,0,131,53
phillips_sleep_deprivation_2008,models_cellml2/circadian_rhythms/phillips_sleep_deprivation_2008.cellml,circadian_rhythms,circadian rhythms | neurobiology,8,3,5,3,0,0,0,42,27
hilgemann_noble_1987,models_cellml2/calcium_dynamics/hilgemann_noble_1987.cellml,calcium_dynamics,calcium dynamics | electrophysiology | excitation-contraction coupling,61,15,46,15,0,0,0,218,111
mclean_su_vandenbogert_2003,models_cellml2/mechanical_constitutive_laws/mclean_su_vandenbogert_2003.cellml,mechanical_constitutive_laws,mechanical constitutive laws,15,1,14,1,0,0,0,71,40
sneyd_dufour_2002,models_cellml2/calcium_dynamics/sneyd_dufour_2002.cellml,calcium_dynamics,calcium dynamics,14,5,9,5,0,0,0,79,34
chen_popel_2007_b,models_cellml2/signal_transduction/chen_popel_2007_b.cellml,signal_transduction,signal transduction,15,15,0,15,0,0,0,123,36
karagiannis_popel_2004,models_cellml2/signal_transduction/karagiannis_popel_2004.cellml,signal_transduction,signal transduction,22,13,9,13,0,0,0,54,38
fitzhugh_1961,models_cellml2/electrophysiology/fitzhugh_1961.cellml,electrophysiology,electrophysiology,3,2,1,2,0,0,0,7,7
wu_jeneson_beard_2006,models_cellml2/metabolism/wu_jeneson_beard_2006.cellml,metabolism,metabolism,83,27,56,27,0,0,0,437,134
lebeau_robson_mckinnon_donald_sneyd_1997,models_cellml2/electrophysiology/lebeau_robson_mckinnon_donald_sneyd_1997.cellml,electrophysiology,electrophysiology,17,5,12,5,0,0,0,87,48
farhy_bowers_veldhuis_2007_a,models_cellml2/endocrine/farhy_bowers_veldhuis_2007_a.cellml,endocrine,endocrine | signal transduction,9,5,4,5,0,0,0,60,43
swanson_true_lin_buhler_vessella_murray_2001,models_cellml2/immunology/swanson_true_lin_buhler_vessella_murray_2001.cellml,immunology,immunology,2,1,1,1,0,0,0,10,9
FINAL,models_cellml2/electrophysiology/FINAL.cellml,electrophysiology,electrophysiology,443,105,338,105,0,0,0,1249,714
cloutier_2009_b,models_cellml2/metabolism/cloutier_2009_b.cellml,metabolism,metabolism,26,7,19,7,0,0,0,138,69
cui_kaandorp_lloyd_2008_b,models_cellml2/electrophysiology/cui_kaandorp_lloyd_2008_b.cellml,electrophysiology,electrophysiology,21,20,1,20,0,0,0,189,39
garmendiatorres_2007,models_cellml2/gene_regulation/garmendiatorres_2007.cellml,gene_regulation,gene regulation,28,11,17,11,0,0,0,161,72
schlosser_selgrade_2000,models_cellml2/endocrine/schlosser_selgrade_2000.cellml,endocrine,endocrine,16,4,12,4,0,0,0,56,37
li_1996_simple,models_cellml2/electrophysiology/li_1996_simple.cellml,electrophysiology,electrophysiology | neurobiology,28,5,23,5,0,0,0,61,43
matsuoka_sarai_kuratomi_ono_noma_2003,models_cellml2/electrophysiology/matsuoka_sarai_kuratomi_ono_noma_2003.cellml,electrophysiology,electrophysiology,191,39,152,39,0,0,0,526,280
beard_2005,models_cellml2/metabolism/beard_2005.cellml,metabolism,metabolism,65,19,46,19,0,0,0,339,113
baylor_hollingworth_chandler_2002_b,models_cellml2/calcium_dynamics/baylor_hollingworth_chandler_2002_b.cellml,calcium_dynamics,calcium dynamics,6,6,0,6,0,0,0,69,15
yates_stark_klein_antia_callard_2007_c,models_cellml2/cell_cycle/yates_stark_klein_antia_callard_2007_c.cellml,cell_cycle,cell cycle | immunology,6,4,2,4,0,0,0,43,15
shaw_chase_starfinger_smith_hann_desaive_ghuysen_2007,models_cellml2/cardiovascular_circulation/shaw_chase_starfinger_smith_hann_desaive_ghuysen_2007.cellml,cardiovascular_circulation,cardiovascular circulation,27,6,21,6,0,0,0,120,68
hai_1988,models_cellml2/myofilament_mechanics/hai_1988.cellml,myofilament_mechanics,myofilament mechanics,8,4,4,4,0,0,0,44,14
wu_yang_vinnakota_beard_2007,models_cellml2/metabolism/wu_yang_vinnakota_beard_2007.cellml,metabolism,metabolism,469,60,409,60,0,0,0,1751,650
jafri_rice_winslow_1998_b,models_cellml2/calcium_dynamics/jafri_rice_winslow_1998_b.cellml,calcium_dynamics,calcium dynamics | electrophysiology,111,36,75,36,0,0,0,335,202
novak_csikasznagy_gyorffy_chen_tyson_1998,models_cellml2/cell_cycle/novak_csikasznagy_gyorffy_chen_tyson_1998.cellml,cell_cycle,cell cycle,22,11,11,11,0,0,0,129,67
starbuck_wiley_lauffenburger_1990,models_cellml2/cell_cycle/starbuck_wiley_lauffenburger_1990.cellml,cell_cycle,cell cycle | signal transduction,19,13,6,13,0,0,0,160,46
baylor_hollingworth_chandler_2002_d,models_cellml2/calcium_dynamics/baylor_hollingworth_chandler_2002_d.cellml,calcium_dynamics,calcium dynamics,5,5,0,5,0,0,0,57,14
noble_varghese_kohl_noble_1998_b,models_cellml2/calcium_dynamics/noble_varghese_kohl_noble_1998_b.cellml,calcium_dynamics,calcium dynamics | electrophysiology | excitation-contraction coupling,95,25,70,25,0,0,0,364,180
guyton_angiotensin_2008,models_cellml2/cardiovascular_circulation/guyton_angiotensin_2008.cellml,cardiovascular_circulation,cardiovascular circulation,12,2,10,2,0,0,0,51,27
wierschem_2004,models_cellml2/calcium_dynamics/wierschem_2004.cellml,calcium_dynamics,calcium dynamics | metabolism,14,5,9,5,0,0,0,58,35
calzone_thieffry_tyson_novak_2007,models_cellml2/cell_cycle/calzone_thieffry_tyson_novak_2007.cellml,cell_cycle,cell cycle,21,17,4,17,0,0,0,255,64
noble_varghese_kohl_noble_1998_a,models_cellml2/electrophysiology/noble_varghese_kohl_noble_1998_a.cellml,electrophysiology,electrophysiology | excitation-contraction coupling | myofilament mechanics,82,22,60,22,0,0,0,310,149
potter_greller_cho_nuttall_stroup_suva_tobin_2005_a,models_cellml2/endocrine/potter_greller_cho_nuttall_stroup_suva_tobin_2005_a.cellml,endocrine,endocrine,7,5,2,5,0,0,0,67,19
goforth_bertram_khan_zhang_sherman_satin_2002,models_cellml2/calcium_dynamics/goforth_bertram_khan_zhang_sherman_satin_2002.cellml,calcium_dynamics,calcium dynamics | electrophysiology,21,5,16,5,0,0,0,84,46
novak_tyson_1997,models_cellml2/cell_cycle/novak_tyson_1997.cellml,cell_cycle,cell cycle,22,13,9,13,0,0,0,190,66
reed_nijhout_sparks_ulrich_2004,models_cellml2/metabolism/reed_nijhout_sparks_ulrich_2004.cellml,metabolism,metabolism,15,4,11,4,0,0,0,74,37
bertram_sherman_2004,models_cellml2/calcium_dynamics/bertram_sherman_2004.cellml,calcium_dynamics,calcium dynamics | electrophysiology,19,5,14,5,0,0,0,90,47
luo_rudy_1991,models_cellml2/electrophysiology/luo_rudy_1991.cellml,electrophysiology,electrophysiology,39,8,31,8,0,0,0,119,58
lambeth_kushmerick_2002,models_cellml2/metabolism/lambeth_kushmerick_2002.cellml,metabolism,metabolism,58,21,37,21,0,0,0,278,159
winslow_rice_jafri_marban_ororke_1999,models_cellml2/calcium_dynamics/winslow_rice_jafri_marban_ororke_1999.cellml,calcium_dynamics,calcium dynamics | excitation-contraction coupling,95,35,60,35,0,0,0,328,173
vinnakota_kemp_kushmeric_2006_exp29frA02,models_cellml2/metabolism/vinnakota_kemp_kushmeric_2006_exp29frA02.cellml,metabolism,metabolism,680,25,655,25,0,0,0,1027,680
chen_csikasz-nagy_gyorffy_val_novak_tyson_2000,models_cellml2/cell_cycle/chen_csikasz-nagy_gyorffy_val_novak_tyson_2000.cellml,cell_cycle,cell cycle,28,13,15,13,0,0,0,183,100
jelic_cupic_kolaranic_2005,models_cellml2/endocrine/jelic_cupic_kolaranic_2005.cellml,endocrine,endocrine,13,2,11,2,0,0,0,35,21
courtemanche_ramirez_nattel_1998,models_cellml2/electrophysiology/courtemanche_ramirez_nattel_1998.cellml,electrophysiology,electrophysiology,103,21,82,21,0,0,0,319,146
bertram_arnot_zamponi_2002,models_cellml2/electrophysiology/bertram_arnot_zamponi_2002.cellml,electrophysiology,electrophysiology | signal transduction,32,11,21,11,0,0,0,140,55
vaseghi_baumeister_rizzi_reuss_1999,models_cellml2/metabolism/vaseghi_baumeister_rizzi_reuss_1999.cellml,metabolism,metabolism,27,10,17,10,0,0,0,103,47
wanant_quon_2000_a,models_cellml2/signal_transduction/wanant_quon_2000_a.cellml,signal_transduction,signal transduction,5,4,1,4,0,0,0,36,10
fallon_lauffenburger_2000,models_cellml2/immunology/fallon_lauffenburger_2000.cellml,immunology,immunology | signal transduction,14,8,6,8,0,0,0,75,22
bagci_2008a,models_cellml2/signal_transduction/bagci_2008a.cellml,signal_transduction,signal transduction,30,9,21,9,0,0,0,110,59
mikane_araki_kohno_nakayama_suzuki_shimuzi_matsubara_hirakawa_takaki_suga_1997,models_cellml2/electrophysiology/mikane_araki_kohno_nakayama_suzuki_shimuzi_matsubara_hirakawa_takaki_suga_1997.cellml,electrophysiology,electrophysiology,9,7,2,7,0,0,0,19,18
chassagnole_rais_quentin_fell_mazat_2001,models_cellml2/metabolism/chassagnole_rais_quentin_fell_mazat_2001.cellml,metabolism,metabolism,18,12,6,12,0,0,0,122,61
noble_varghese_kohl_noble_1998_c,models_cellml2/calcium_dynamics/noble_varghese_kohl_noble_1998_c.cellml,calcium_dynamics,calcium dynamics | electrophysiology | excitation-contraction coupling,106,26,80,26,0,0,0,403,205
cloutier_2009_c,models_cellml2/metabolism/cloutier_2009_c.cellml,metabolism,metabolism,26,7,19,7,0,0,0,138,69
kesmir_deboer_1999,models_cellml2/immunology/kesmir_deboer_1999.cellml,immunology,immunology,25,16,9,16,0,0,0,137,40
mijailovich_butler_fredburg_2000,models_cellml2/metabolism/mijailovich_butler_fredburg_2000.cellml,metabolism,metabolism | myofilament mechanics,10,4,6,4,0,0,0,45,19
jafri_rice_winslow_1998_a,models_cellml2/calcium_dynamics/jafri_rice_winslow_1998_a.cellml,calcium_dynamics,calcium dynamics | electrophysiology,97,31,66,31,0,0,0,293,164
komarova_2003,models_cellml2/endocrine/komarova_2003.cellml,endocrine,endocrine,8,3,5,3,0,0,0,54,19
chang_fujita_2001_Na_H_exchanger,models_cellml2/electrophysiology/chang_fujita_2001_Na_H_exchanger.cellml,electrophysiology,electrophysiology | ion transport,15,8,7,8,0,0,0,109,35
gupta_aslakson_gurbaxani_vernon_2007_b,models_cellml2/endocrine/gupta_aslakson_gurbaxani_vernon_2007_b.cellml,endocrine,endocrine,5,4,1,4,0,0,0,30,13
goldbeter_pourquie_2008_b,models_cellml2/circadian_rhythms/goldbeter_pourquie_2008_b.cellml,circadian_rhythms,circadian rhythms | signal transduction,33,16,17,16,0,0,0,185,106
leloup_gonze_goldbeter_1999_a,models_cellml2/circadian_rhythms/leloup_gonze_goldbeter_1999_a.cellml,circadian_rhythms,circadian rhythms | signal transduction,11,10,1,10,0,0,0,134,50
fohlmeister_miller_1997,models_cellml2/electrophysiology/fohlmeister_miller_1997.cellml,electrophysiology,electrophysiology,28,8,20,8,0,0,0,94,47
wodarz_hamer_2007_a,models_cellml2/immunology/wodarz_hamer_2007_a.cellml,immunology,immunology,2,2,0,2,0,0,0,12,8
hodgkin_huxley_1952,models_cellml2/electrophysiology/hodgkin_huxley_1952.cellml,electrophysiology,electrophysiology,17,4,13,4,0,0,0,45,23
baylor_hollingworth_chandler_2002_e,models_cellml2/calcium_dynamics/baylor_hollingworth_chandler_2002_e.cellml,calcium_dynamics,calcium dynamics,3,3,0,3,0,0,0,21,6
obeyesekere_zimmerman_tecarro_auchmuty_1999,models_cellml2/cell_cycle/obeyesekere_zimmerman_tecarro_auchmuty_1999.cellml,cell_cycle,cell cycle,7,5,2,5,0,0,0,71,28
li_1996_complex,models_cellml2/electrophysiology/li_1996_complex.cellml,electrophysiology,electrophysiology | neurobiology,44,12,32,12,0,0,0,104,76
shorten_wall_2000,models_cellml2/calcium_dynamics/shorten_wall_2000.cellml,calcium_dynamics,calcium dynamics,26,7,19,7,0,0,0,123,65
guyton_capillary_dynamics_2008,models_cellml2/cardiovascular_circulation/guyton_capillary_dynamics_2008.cellml,cardiovascular_circulation,cardiovascular circulation,33,4,29,4,0,0,0,129,58
garny_kohl_hunter_boyett_noble_2003,models_cellml2/electrophysiology/garny_kohl_hunter_boyett_noble_2003.cellml,electrophysiology,electrophysiology,144,15,129,15,0,0,0,348,201
sveiczer_csikasznagy_gyorffy_tyson_novak_2000,models_cellml2/cell_cycle/sveiczer_csikasznagy_gyorffy_tyson_novak_2000.cellml,cell_cycle,cell cycle,24,16,8,16,0,0,0,237,83
bagci_2006,models_cellml2/signal_transduction/bagci_2006.cellml,signal_transduction,signal transduction,75,31,44,31,0,0,0,290,131
csikasz_nagy_2006_budding_yeast_from_paper,models_cellml2/cell_cycle/csikasz_nagy_2006_budding_yeast_from_paper.cellml,cell_cycle,cell cycle,53,14,39,14,0,0,0,316,141
lenbury_ruktamatakul_amornsamarnkul_2001_a,models_cellml2/endocrine/lenbury_ruktamatakul_amornsamarnkul_2001_a.cellml,endocrine,endocrine,3,3,0,3,0,0,0,25,16
sedaghat_sherman_quon_2002,models_cellml2/metabolism/sedaghat_sherman_quon_2002.cellml,metabolism,metabolism | signal transduction,40,20,20,20,0,0,0,205,61
guyton_non_muscle_blood_flow_control_2008,models_cellml2/cardiovascular_circulation/guyton_non_muscle_blood_flow_control_2008.cellml,cardiovascular_circulation,cardiovascular circulation,12,3,9,3,0,0,0,45,22
nowak_bangham_1996,models_cellml2/immunology/nowak_bangham_1996.cellml,immunology,immunology,3,3,0,3,0,0,0,18,10
demir_clark_giles_1999,models_cellml2/electrophysiology/demir_clark_giles_1999.cellml,electrophysiology,electrophysiology | signal transduction,112,29,83,29,0,0,0,292,158
lebeau_yule_groblewski_sneyd_1999,models_cellml2/calcium_dynamics/lebeau_yule_groblewski_sneyd_1999.cellml,calcium_dynamics,calcium dynamics | signal transduction,9,4,5,4,0,0,0,42,23
novak_tyson_1993_b,models_cellml2/cell_cycle/novak_tyson_1993_b.cellml,cell_cycle,cell cycle | metabolism,14,9,5,9,0,0,0,130,46
keizer_levine_1996,models_cellml2/calcium_dynamics/keizer_levine_1996.cellml,calcium_dynamics,calcium dynamics | electrophysiology,14,6,8,6,0,0,0,70,30
kirschner_panetta_1998,models_cellml2/immunology/kirschner_panetta_1998.cellml,immunology,immunology | signal transduction,3,3,0,3,0,0,0,25,17
bertram_2006,models_cellml2/electrophysiology/bertram_2006.cellml,electrophysiology,electrophysiology | metabolism,41,7,34,7,0,0,0,139,88
espinosa_1998_normal,models_cellml2/electrophysiology/espinosa_1998_normal.cellml,electrophysiology,electrophysiology,78,21,57,21,0,0,0,308,144
cloutier_2009_f,models_cellml2/metabolism/cloutier_2009_f.cellml,metabolism,metabolism,26,7,19,7,0,0,0,138,69
stilianakis_dietz_schenzle_1997,models_cellml2/immunology/stilianakis_dietz_schenzle_1997.cellml,immunology,immunology,8,5,3,5,0,0,0,41,23
bertram_previte_sherman_kinard_satin_2000_slow,models_cellml2/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_slow.cellml,calcium_dynamics,calcium dynamics | electrophysiology,14,4,10,4,0,0,0,54,36
macgregor_leng_2005_a,models_cellml2/endocrine/macgregor_leng_2005_a.cellml,endocrine,endocrine,8,4,4,4,0,0,0,39,23
gall_susa_1999_b,models_cellml2/calcium_dynamics/gall_susa_1999_b.cellml,calcium_dynamics,calcium dynamics | electrophysiology,14,5,9,5,0,0,0,73,43
nazaret_2009_scaled,models_cellml2/metabolism/nazaret_2009_scaled.cellml,metabolism,metabolism,46,8,38,8,0,0,0,167,77
michailova_2005,models_cellml2/calcium_dynamics/michailova_2005.cellml,calcium_dynamics,calcium dynamics | electrophysiology | metabolism,117,36,81,36,0,0,0,402,217
mlcek_neumann_kittnar_novak_2001,models_cellml2/electrophysiology/mlcek_neumann_kittnar_novak_2001.cellml,electrophysiology,electrophysiology | myofilament mechanics,10,10,0,10,0,0,0,124,30
asthagiri_lauffenburger_2001,models_cellml2/signal_transduction/asthagiri_lauffenburger_2001.cellml,signal_transduction,signal transduction,43,25,18,25,0,0,0,466,103
guyton_heart_hypertrophy_or_deterioration_2008,models_cellml2/cardiovascular_circulation/guyton_heart_hypertrophy_or_deterioration_2008.cellml,cardiovascular_circulation,cardiovascular circulation,5,3,2,3,0,0,0,28,14
borghans_dupont_goldbeter_1997b,models_cellml2/calcium_dynamics/borghans_dupont_goldbeter_1997b.cellml,calcium_dynamics,calcium dynamics,6,3,3,3,0,0,0,44,24
zager_schlosser_tran_2007,models_cellml2/endocrine/zager_schlosser_tran_2007.cellml,endocrine,endocrine,26,7,19,7,0,0,0,109,46
boyett_zhang_garny_holden_2001,models_cellml2/calcium_dynamics/boyett_zhang_garny_holden_2001.cellml,calcium_dynamics,calcium dynamics | electrophysiology,117,22,95,22,0,0,0,318,184
grange_2001_bens,models_cellml2/metabolism/grange_2001_bens.cellml,metabolism,PKPD | metabolism,20,9,11,9,0,0,0,74,42
fink_slepchenko_loew_1999,models_cellml2/calcium_dynamics/fink_slepchenko_loew_1999.cellml,calcium_dynamics,calcium dynamics,6,2,4,2,0,0,0,36,22
viswanathan_shaw_rudy_1999_c,models_cellml2/calcium_dynamics/viswanathan_shaw_rudy_1999_c.cellml,calcium_dynamics,calcium dynamics | electrophysiology,117,25,92,25,0,0,0,352,180
halloy_bernard_loussouarn_goldbeter_2002,models_cellml2/cell_cycle/halloy_bernard_loussouarn_goldbeter_2002.cellml,cell_cycle,cell cycle,7,4,3,4,0,0,0,32,12
dumaine_towbin_brugada_vatta_nesterenko_nesterenko_brugada_brugada_antzelevitch_1999,models_cellml2/electrophysiology/dumaine_towbin_brugada_vatta_nesterenko_nesterenko_brugada_brugada_antzelevitch_1999.cellml,electrophysiology,electrophysiology,87,16,71,16,0,0,0,303,145
mcallister_noble_tsien_1975_a,models_cellml2/electrophysiology/mcallister_noble_tsien_1975_a.cellml,electrophysiology,electrophysiology,41,10,31,10,0,0,0,116,55
iancu_jones_harvey_2007,models_cellml2/signal_transduction/iancu_jones_harvey_2007.cellml,signal_transduction,signal transduction,53,15,38,15,0,0,0,194,109
izakov_katsnelson_blyakhman_markhasin_shkylar_1991,models_cellml2/calcium_dynamics/izakov_katsnelson_blyakhman_markhasin_shkylar_1991.cellml,calcium_dynamics,calcium dynamics | excitation-contraction coupling | myofilament mechanics,22,2,20,2,0,0,0,51,46
plant_1981,models_cellml2/calcium_dynamics/plant_1981.cellml,calcium_dynamics,calcium dynamics | neurobiology,20,5,15,5,0,0,0,50,34
rattananakul_lenbury_krishnamara_wollkind_2003_a,models_cellml2/endocrine/rattananakul_lenbury_krishnamara_wollkind_2003_a.cellml,endocrine,endocrine,3,3,0,3,0,0,0,38,17
yang_tong_mccarver_hines_beard_2006,models_cellml2/endocrine/yang_tong_mccarver_hines_beard_2006.cellml,endocrine,PKPD | endocrine | metabolism,7,2,5,2,0,0,0,36,20
adrian_chandler_hodgkin_1970,models_cellml2/electrophysiology/adrian_chandler_hodgkin_1970.cellml,electrophysiology,electrophysiology | myofilament mechanics,18,5,13,5,0,0,0,90,49
kurata_hisatome_imanishi_shibamoto_2002,models_cellml2/electrophysiology/kurata_hisatome_imanishi_shibamoto_2002.cellml,electrophysiology,electrophysiology,106,27,79,27,0,0,0,330,169
hoefnagel_starrenburg_martens_hugenholtz_kleerebezem_vanswam_bongers_westerhoff_snoep_2002,models_cellml2/metabolism/hoefnagel_starrenburg_martens_hugenholtz_kleerebezem_vanswam_bongers_westerhoff_snoep_2002.cellml,metabolism,metabolism,38,8,30,8,0,0,0,206,120
dixit_perelson_2004,models_cellml2/immunology/dixit_perelson_2004.cellml,immunology,immunology,8,5,3,5,0,0,0,55,27
purvis_butera_2005,models_cellml2/calcium_dynamics/purvis_butera_2005.cellml,calcium_dynamics,calcium dynamics | neurobiology,47,16,31,16,0,0,0,206,120
grange_2001,models_cellml2/metabolism/grange_2001.cellml,metabolism,PKPD | metabolism,20,9,11,9,0,0,0,74,42
marhl_haberichter_brumen_heinrich_2000,models_cellml2/calcium_dynamics/marhl_haberichter_brumen_heinrich_2000.cellml,calcium_dynamics,calcium dynamics | electrophysiology,10,3,7,3,0,0,0,59,28
winograd_destexhe_sanchezvives_2008,models_cellml2/calcium_dynamics/winograd_destexhe_sanchezvives_2008.cellml,calcium_dynamics,calcium dynamics | signal transduction,47,7,40,7,0,0,0,154,86
lovell_cloherty_celler_dokos_2004,models_cellml2/electrophysiology/lovell_cloherty_celler_dokos_2004.cellml,electrophysiology,electrophysiology,112,36,76,36,0,0,0,406,313
