time,RuBP,ER,EPP,EPG,EP,EOP,PGA,TP,FBP,HeP,E4P,SBP,S7P,PeP,ADPG,ATP,PGAc,TPc,FBPc,F26BPc,HePc,UDPGc,SucPc
0.0,0.002,0.001201,0.0002711,0.0003206,0.0007045,0.0002966,0.0024,0.0005,0.00067,0.0022,5e-05,0.0003,0.002,0.00025,6.295e-06,0.00068,0.0,0.0023,0.002,7.8e-09,0.0058,0.00057,0.0
0.06105675146771037,0.002242493691416952,0.0010407042250949916,0.0002652163421791466,0.00031590992643720875,0.0006897945572841204,0.00048221917272829335,0.002393143448008585,0.0025477339951932875,1.929260889121024e-06,0.0017353846556729963,0.0008121635778644502,1.2331361618647835e-06,0.000984381810913737,0.0025102610598958836,0.00013539924302002072,0.0011021923566716704,7.14133375412733e-05,0.0046277308920972355,5.4236940432962565e-06,1.699941294048971e-08,0.005660756795382784,0.0007074703094346579,2.197649878268723e-06
0.12211350293542074,0.0028245777392898103,0.0009321985967949201,0.0002563241292686001,0.00030614379494847823,0.0006930386449077686,0.0006042155136981434,0.002359856614644727,0.0031747780234423133,2.993875246256713e-06,0.001633108585810466,0.0009119250870706325,1.723515247207233e-06,0.0006432356822638156,0.002680727209663427,0.00020651985114247188,0.001145394178365288,0.00014619430417872248,0.0037945587981124736,3.6231726767070954e-06,3.1000219512807974e-08,0.005517717642534929,0.0008430300093091059,2.966420262364493e-06
0.18317025440313112,0.003288787780673652,0.0008681307913258688,0.00024689054752881134,0.0002942844328011853,0.0007026282460423864,0.0006785920581990401,0.0022971001992841936,0.0035168691714645116,3.672228974262147e-06,0.0015372150347163346,0.0010049420985320803,2.1018891330373622e-06,0.00048392044101449184,0.002563864012984331,0.00024194727205035905,0.0011937912417887796,0.00021990506843976083,0.0034435078634087505,2.9756825206676003e-06,4.7498019409863e-08,0.005376533319625238,0.0009766420429702502,3.2617447587290777e-06
0.24422700587084148,0.0036554745243249955,0.0008380162898959783,0.0002385137278777695,0.0002824027346774182,0.0007106239168632856,0.0007200770729121496,0.00221727888879429,0.003699002046016187,4.0606801012647135e-06,0.0014544493366774472,0.0010845631868921972,2.3834658439626335e-06,0.00038462414751021224,0.0023832151129396274,0.00025613236953735054,0.0012335062019676137,0.0002896562165234429,0.0033352251772690382,2.7881981716882216e-06,6.449436909633051e-08,0.005237254688277,0.0011082684936428943,3.391094487471422e-06
0.30528375733855184,0.003943209505210757,0.0008314735185892264,0.00023200587402640556,0.00027175514228939206,0.000713558524837889,0.0007403295409454391,0.0021321823775691012,0.0038111342883304276,4.308744714127984e-06,0.0013807662959959837,0.001154917664724306,2.612022254586699e-06,0.00031251637444902467,0.0021977373106156287,0.000257295365534826,0.0012649794190282477,0.00035360970324012716,0.0033386112064039265,2.7924634086596076e-06,8.092077966493965e-08,0.005099929739726364,0.001237872980044344,3.458592719216814e-06
0.36634050880626223,0.004168222921692697,0.0008399377103843476,0.0002275796462044697,0.00026296923860347167,0.0007110492170689312,0.0007473346774547079,0.002049448824780085,0.0038991027559965794,4.507983404682472e-06,0.0013116280070592783,0.0012205932085637857,2.820524537434667e-06,0.00025677623806624663,0.002024332822326269,0.0002504175476386982,0.001290105567005371,0.00041086932116072205,0.0033882647166434497,2.8755705521825872e-06,9.637376042380272e-08,0.004964607018990544,0.0013654196658450383,3.5002503745526542e-06
0.42739726027397257,0.004343497395771967,0.0008570323431916248,0.0002250734992228911,0.00025624094466242297,0.0007042295322267659,0.0007462074637543845,0.0019732181576949713,0.003982955764897721,4.701831324850785e-06,0.0012448722267330414,0.0012837456524070062,3.025540368251336e-06,0.000212590315360444,0.0018673523527400072,0.0002387350613211555,0.0013104695129712623,0.0004612355983341036,0.0034539592970691114,2.987963113795988e-06,1.1077921361368358e-07,0.004831334993862452,0.001490872391426147,3.5289281459084256e-06
0.48845401174168296,0.004479011021935859,0.0008782999265079504,0.00022414367593434967,0.0002514979920520102,0.0006946780919744826,0.0007401778273790925,0.0019053675685592496,0.004070016728432599,4.90726537178641e-06,0.001179933867269739,0.001344878685940993,3.2330104030220105e-06,0.00017722720240111886,0.0017270445704175251,0.00022445309624133402,0.001327218603608376,0.0005049552442718263,0.0035228217380497574,3.1082591884014844e-06,1.241917337960347e-07,0.004700161517535967,0.0016141943577578034,3.5495814648952685e-06
0.5495107632093933,0.004582365254732773,0.0009007689462060007,0.0002243952876836757,0.0002485195787124582,0.0006838624200801782,0.0007313219310946682,0.001846462081516161,0.004162003896671415,5.128940706600876e-06,0.0011170117033079006,0.0014036925090731638,3.4433901848315546e-06,0.00014884605991657745,0.001602394387116313,0.00020910669011163125,0.001341160035719474,0.0005425253806553583,0.003589952349475021,3.227876944035811e-06,1.3670270158322848e-07,0.004571133587121169,0.0017353481694185498,3.5644214004476423e-06
0.6105675146771037,0.004659400486944358,0.0009225530577909736,0.00022545668664723575,0.0002470171340615851,0.0006729254275333751,0.0007210146736643385,0.0017963525711850743,0.0042584620202524,5.366443182220005e-06,0.001056582337289202,0.001459588670297702,3.654694681410013e-06,0.00012606904182732814,0.0014921019891797982,0.00019375922676765893,0.0013528647476112301,0.0005745602558550418,0.003653866246212252,3.3438808489804587e-06,1.4840482862854585e-07,0.004444297252813777,0.0018542960459705846,3.5746417451108213e-06
0.6716242661448141,0.004714696917543405,0.0009425315570714658,0.00022701377692796804,0.0002466858186501129,0.0006626524990722631,0.0007101915449514425,0.0017545230420652075,0.0043582853366005035,5.617625331390046e-06,0.0009991529184456653,0.0015119354393136795,3.8641796839051024e-06,0.00010780888803582885,0.0013948783142269416,0.00017912326648884586,0.0013627365877244965,0.0006017073842338093,0.0037143986751989656,3.455638085254074e-06,1.5938084480019584e-07,0.004319697569710275,0.001971000094020187,3.5810069184601096e-06
0.7326810176125245,0.0047519185393137195,0.0009601102589327596,0.00022881983200536424,0.0002472352219240437,0.0006535181350132871,0.0006994974013635087,0.0017202884297720202,0.004460318881386456,5.879963195121585e-06,0.0009451498158361241,0.0015601954892700606,4.069044962006692e-06,9.318414026675089e-05,0.0013095323524401862,0.00016564392864343134,0.001371082548049864,0.0006245982978169966,0.003771806878964208,3.5633218089905874e-06,1.6970152247764776e-07,0.004197378541854803,0.0020854225929329536,3.5840593161572435e-06
0.7937377690802349,0.004774079779585887,0.0009750472189929164,0.00023069227329183212,0.0002484059343803088,0.0006457574142355645,0.000689373760664543,0.001692898260532779,0.004563567138083891,6.1511432068906396e-06,0.0008948712888032297,0.001603986362805193,4.267002548870157e-06,8.147977620350271e-05,0.0012349387701985058,0.00015356119129380518,0.0013781330830447416,0.0006438218598258389,0.003826418549337049,3.667289106367127e-06,1.794267945433307e-07,0.004077383039596322,0.002197526276808868,3.5842021136617787e-06
0.8547945205479451,0.004783701462490394,0.0009873287348352558,0.0002325036537049856,0.00024997689453242877,0.0006394360026143703,0.0006801130378827955,0.0016715970727032578,0.0046672257064035915,6.429136703561428e-06,0.0008484781205889912,0.001643098899365926,4.4562457035349725e-06,7.211073581716016e-05,0.001170043381629771,0.00014296287260623906,0.0013840789162353707,0.0006599115056841624,0.0038785161638667204,3.767860042162241e-06,1.8860758113743597e-07,0.003959752685799934,0.002307274609359571,3.5817400241657765e-06
0.9158512720156555,0.004782936048827831,0.0009970820164341818,0.00023417093892792604,0.0002517669341787083,0.0006345089461458433,0.0006718952095204434,0.001655655207031949,0.004770664850809413,6.712227685302108e-06,0.0008060010393699291,0.001677493164705345,4.635623068680632e-06,6.460237535460938e-05,0.0011138317683929018,0.00013382933775612862,0.0013890720260500327,0.0006733410314054627,0.003928315659320148,3.865263645917988e-06,1.9728751879897128e-07,0.0038445277127295394,0.0024146320529849045,3.5769042460112e-06
0.9769080234833659,0.004773633708143764,0.0010045146539681747,0.0002356450534884628,0.0002536326703341428,0.0006308658325463451,0.000664815028032348,0.001644385033340186,0.004873393134634596,6.99895805282231e-06,0.0007673583338813982,0.0017072790721835687,4.804516629515529e-06,5.857109134557789e-05,0.0010653374737440713,0.00012607148696804036,0.0013932437335550966,0.0006845255796581245,0.003975977826146145,3.9596488878434646e-06,2.0550440808005182e-07,0.0037317468026305243,0.002519564326595707,3.569870223415531e-06
1.0379647749510763,0.004757392394792948,0.0010098741934818102,0.00023690203884347956,0.00025546480369047453,0.0006283626997675417,0.0006589025774358662,0.0016371494745408197,0.004975024935903969,7.288073859381169e-06,0.0007323792328856213,0.0017326872252575527,4.962753964971472e-06,5.370910528630763e-05,0.0010236447501989548,0.0001195605995470795,0.001396707943265654,0.0006938249493460216,0.004021625907497375,4.051111312139079e-06,2.1329130661062565e-07,0.0036214468983389097,0.0026220386681737448,3.5607707302598953e-06
