time,MmCherryc,mCherryc,TFc,MTFc,Pol,TFn_B,CP,Pol_TFn_B,TFn,Pol_DTF,MetTF_BTF,MetTF,Met,DTF,BTF,B,Met_MetTF,Pol_TFn_B_CP2
0.0,0.0,0.0,0.0,0.0,3333333.33333333,282.29,666.666666666667,0.0,0.0,0.0,0.0,333333.333333333,27010394.4556963,333.333333333333,333.333333333333,384.37600000000003,0.0,0.0
0.0005870841487279843,50.02961276107537,0.46713669550326187,368.26727468070357,12624.37579058832,3332735.5307858097,15.77998038472501,593.8872919470272,191.71109674279612,22.89025838330147,333.31207605305644,2.307477228243749,0.0105606098729485,26677063.44040077,0.021257280276292544,331.02585610508885,386.39554815286124,333331.0152954945,72.77937471964299
0.0011741682974559687,82.34287038458088,1.695620739121732,1140.3414133643128,19333.69574063934,3332734.8077945504,15.836409878081179,593.7629977377112,192.30828917079992,132.5946172533696,333.3135806705321,2.1441408662080526,0.010559571958949784,26677063.277063377,0.019752662800780748,331.18919246712454,385.61763202218776,333331.1786328944,72.90366892895878
0.0017612524461839531,102.43973815458462,3.381459255921825,2001.2841861105449,22543.77595286849,3332727.694944549,16.291566344357832,592.080697841103,197.73744176292624,343.2164666674236,333.31497818328876,1.9924289763977734,0.010558607912163249,26677063.125350516,0.018355150044251332,331.3409043569349,378.05102306717674,333331.3303457482,74.58596882556687
0.0023483365949119373,116.6185763988951,5.359909281419014,2795.4673821650144,23705.726857356658,3332711.195708827,17.32346217683604,588.0897279210054,210.24440954584404,632.5430730737805,333.3162762017868,1.8515142576472625,0.010557712475539587,26677062.984434906,0.017057131546197778,331.4818190756854,360.5211895316834,333331.4712613624,78.57693874566431
0.0029354207436399216,128.9880996362017,7.561431744282388,3456.1617443811983,23689.195093042694,3332684.5737093594,18.972756307458734,581.6449881257655,230.42046360809647,968.6576485096488,333.31748180855226,1.7206282869256817,0.010556880766167981,26677062.85354811,0.015851524780712164,331.61270504640703,332.2511015435685,333331.6021481648,85.02167854090418
0.0035225048923679062,141.86651197646268,9.975090290377146,3964.562811466841,23013.97621534804,3332649.5468453304,21.133317112826653,573.2510232397966,257.0522429649431,1322.0187754830401,333.31860159313044,1.5990573289949117,0.010556108248648726,26677062.73197637,0.01473174020255178,331.73427600433774,295.064796495385,333331.72371989524,93.41564342687313
0.00410958904109589,156.10800704100512,12.618384882886685,4326.262334065504,21989.422029799513,3332609.5357879912,23.597330592215748,563.8239933314809,287.6352303084469,1669.5772090686964,333.3196416809596,1.486138444626355,0.010555390710363115,26677062.61905677,0.013691652373410522,331.8471948887063,252.5907657641763,333331.83663949714,102.84267333518889
0.004696673189823875,171.52271007622736,15.514021363878891,4557.967211316593,20798.484598573978,3332568.487801909,26.12495278953233,554.3493768716426,319.20763386594007,1995.0049005924534,333.3206077602205,1.3812558751185628,0.010554724238498996,26677062.514173537,0.012725573112469826,331.95207745821415,209.0161235495284,333331.9415227332,112.31728979502707
0.005283757338551859,187.3549424259882,18.67517981288745,4680.242897240489,19548.22974861636,3332529.827080928,28.50707332628032,545.6137937593405,349.13187441322117,2287.488024537189,333.3215051091071,1.283837684225755,0.01055410519871208,26677062.41675472,0.01182822422593058,332.049495649107,167.97417935319737,333332.0389415431,121.05287290732907
0.005870841487279843,202.70489396135764,22.099326788963698,4713.733561086202,18300.173350398774,3332495.8622725406,30.60163682814003,538.0906092457298,375.57266479426363,2540.377730899369,333.32233862403757,1.1933526403770305,0.010553530215314143,26677062.3262691,0.01099470929541343,332.1399806929557,131.91564095668437,333332.12942716194,128.5760574209398
0.006457925636007828,216.81073705727707,25.768483461771364,4677.32311034328,17088.680869016498,3332467.6777635785,32.34111456838259,531.9545056538955,397.62029595485876,2750.1525602718384,333.32311284788153,1.1093073189283298,0.010552996152859428,26677062.24222324,0.0102204854514349,332.2240260144044,101.9924284640124,333332.2134730175,134.71216101277415
0.0070450097847358124,229.17850423852587,29.653263404741793,4587.4144101294,15931.935214967256,3332445.3571434636,33.719525592293635,527.162916735595,415.14860800596955,2915.7043882500707,333.3238319970078,1.0312434118137075,0.010552500099048932,26677062.164158825,0.009501336325119904,332.30208992151904,78.29411647069014,333332.29153742065,139.50374993107454
